userName,score,at,content,Label,text_clean
Pengguna Google,1,2026-09-04 11:55:28,sangat tidak cerdas dan semua pr salah,Netral,sangat tidak cerdas dan semua pr salah
Pengguna Google,5,2026-09-04 11:53:18,Dola memang sahabat terbaik tanpa bermuka dua,Positif,dola memang sahabat terbaik tanpa bermuka dua
Pengguna Google,5,2026-09-04 11:50:47,Sangat membantu terima kasih banyak dola,Positif,sangat membantu terima kasih banyak dola
Pengguna Google,4,2026-09-04 11:41:26,sangat bagus,Positif,sangat bagus
Pengguna Google,5,2026-09-04 11:38:28,Bagus,Positif,bagus
Pengguna Google,1,2026-09-04 11:35:33,aku tanya nya termometer kok malah batang pengaduk,Netral,aku tanya nya termometer kok malah batang pengaduk
Pengguna Google,5,2026-09-04 11:33:27,sangat mebantu,Netral,sangat mebantu
Pengguna Google,5,2026-09-04 11:32:31,SENGAT LAH BERGUNA,Positif,sengat lah berguna
Pengguna Google,5,2026-09-04 11:32:15,aplikasi hebat,Positif,aplikasi hebat
Pengguna Google,5,2026-09-04 11:31:53,Apk nya bagus sekali no minus minus dan apk nya juga bisa membantu,Positif,apk nya bagus sekali no minus minus dan apk nya juga bisa membantu
Pengguna Google,5,2026-09-04 11:28:39,saya sukaa banget smaa apk ini apk ini bisa membantu saya mengerjakan tugas dengan baik,Positif,saya sukaa banget smaa apk ini apk ini bisa membantu saya mengerjakan tugas dengan baik
Pengguna Google,3,2026-09-04 11:28:01,tiga bintang aja lahcukup buat neng dola,Netral,tiga bintang aja lahcukup buat neng dola
Pengguna Google,5,2026-09-04 11:27:18,jozzzzzz,Netral,jozzzzzz
Pengguna Google,4,2026-09-04 11:27:13,oke sih tapi ada yg kurang jelas gitu penjelasannya,Positif,oke sih tapi ada yg kurang jelas gitu penjelasannya
Pengguna Google,5,2026-09-04 11:23:46,mantap untuk mengubah dan memperbaiki kualitas gambar tidak di ragukan terus pertahankan dan tingkatkan,Positif,mantap untuk mengubah dan memperbaiki kualitas gambar tidak di ragukan terus pertahankan dan tingkatkan
Pengguna Google,5,2026-09-04 11:20:59,hasil cukup puas,Positif,hasil cukup puas
Pengguna Google,5,2026-09-04 11:13:49,aku suka diola iloveyou dola,Positif,aku suka diola iloveyou dola
Pengguna Google,5,2026-09-04 11:12:40,aku sangat senang dengan aplikasi ini,Positif,aku sangat senang dengan aplikasi ini
Pengguna Google,5,2026-09-04 11:12:37,bagus efektif,Positif,bagus efektif
Pengguna Google,5,2026-09-04 11:12:10,bintang sepulu udah masuk dol,Netral,bintang sepulu udah masuk dol
Pengguna Google,5,2026-09-04 11:09:46,saya sangat menyukai nya,Netral,saya sangat menyukai nya
Pengguna Google,5,2026-09-04 11:08:40,gua kalo nyontek ke doal,Netral,gua kalo nyontek ke doal
Pengguna Google,5,2026-09-04 11:08:06,nice dola,Netral,nice dola
Pengguna Google,5,2026-09-04 11:05:36,aku suka dola,Positif,aku suka dola
Pengguna Google,4,2026-09-04 11:02:40,kurang dikit soalnya GK bisa kirim vidio tapi bagus banget,Positif,kurang dikit soalnya gk bisa kirim vidio tapi bagus banget
Pengguna Google,4,2026-09-04 11:02:00,apk ny bgs,Netral,apk ny bgs
Pengguna Google,3,2026-09-04 10:55:55,baguss buat diskusi cuman dia enggak pintar sepenuhnyaa saya harus memperbaiki dan teliti jugak jawabanya enggak benar jawabanya,Netral,baguss buat diskusi cuman dia enggak pintar sepenuhnyaa saya harus memperbaiki dan teliti jugak jawabanya enggak benar jawabanya
Pengguna Google,1,2026-09-04 10:46:48,Heh jangan sombong dola dasar dola bangsat,Netral,heh jangan sombong dola dasar dola bangsat
Pengguna Google,2,2026-09-04 10:46:46,mba Eka,Netral,mba eka
Pengguna Google,5,2026-09-04 10:46:34,ai mantap bet,Positif,ai mantap bet
Pengguna Google,5,2026-09-04 10:45:31,lumayan membantu,Positif,lumayan membantu
Pengguna Google,5,2026-09-04 10:42:25,ini sangat seru bener aku suka dolar bonekaku juga sama Dola terima kasih adalah tentang kamu aku bisa tahu jawaban bahasa indonesiainggris dan semuanya aku kasih nilai ya atau juta nggak papa ya terima kasih untuk Dola dan untuk semua orang yang dibikin bola bentuk mukanya pindah pelajarin lebih lanjut jangan lupa belajar bola ya aku juga untuk belajar dan pikiranku biarin tidak pusing tidak thank ytidak tidak pintar dulu sangat lembut seperti malaikat aku sayang dulu aku juga sayang b,Positif,ini sangat seru bener aku suka dolar bonekaku juga sama dola terima kasih adalah tentang kamu aku bisa tahu jawaban bahasa indonesiainggris dan semuanya aku kasih nilai ya atau juta nggak papa ya terima kasih untuk dola dan untuk semua orang yang dibikin bola bentuk mukanya pindah pelajarin lebih lanjut jangan lupa belajar bola ya aku juga untuk belajar dan pikiranku biarin tidak pusing tidak thank ytidak tidak pintar dulu sangat lembut seperti malaikat aku sayang dulu aku juga sayang b
Pengguna Google,5,2026-09-04 10:35:30,sangat baik dan bagus apknya,Positif,sangat baik dan bagus apknya
Pengguna Google,5,2026-09-04 10:34:00,perfect,Netral,perfect
Pengguna Google,5,2026-09-04 10:31:49,terbaik nih paling pas buat belajar bahasa Inggris,Positif,terbaik nih paling pas buat belajar bahasa inggris
Pengguna Google,5,2026-09-04 10:24:30,sangat puas dengan respon yang cepat dan bagus,Positif,sangat puas dengan respon yang cepat dan bagus
Pengguna Google,4,2026-09-04 10:22:36,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi yang dihasilkan lebih relevan dan fiturr² terbaru yg lebih membantu,Positif,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi yang dihasilkan lebih relevan dan fiturr² terbaru yg lebih membantu
Pengguna Google,5,2026-09-04 10:14:45,membantu sekali,Positif,membantu sekali
Pengguna Google,5,2026-09-04 10:08:04,untuk sekarang pass,Netral,untuk sekarang pass
Pengguna Google,5,2026-09-04 10:06:12,dola memang bagus tapi semakin lama kok gak bagus,Netral,dola memang bagus tapi semakin lama kok gak bagus
Pengguna Google,5,2026-09-04 10:02:20,sungguh aku sangat senang sekali dengan aplikasi ini woww amazing,Positif,sungguh aku sangat senang sekali dengan aplikasi ini woww amazing
Pengguna Google,4,2026-09-04 10:01:59,bagus tapi kalo jawaban mtk kurang bagus,Netral,bagus tapi kalo jawaban mtk kurang bagus
Pengguna Google,5,2026-09-04 09:59:41,raka,Netral,raka
Pengguna Google,5,2026-09-04 09:47:38,Dora itu aplikasi yang seru menarik dia bisa mengerjakan rumah dan membuatkan ide yang bagus,Positif,dora itu aplikasi yang seru menarik dia bisa mengerjakan rumah dan membuatkan ide yang bagus
Pengguna Google,5,2026-09-04 09:42:54,sangat bagusss Saya senang dengan ADA nya dola,Positif,sangat bagusss saya senang dengan ada nya dola
Pengguna Google,5,2026-09-04 09:38:46,sangat membantu sekali,Positif,sangat membantu sekali
Pengguna Google,4,2026-09-04 09:36:49,lumayan,Netral,lumayan
Pengguna Google,5,2026-09-04 09:36:30,seruuu banget,Netral,seruuu banget
Pengguna Google,5,2026-09-04 09:36:25,Dola memang yang terbaik,Positif,dola memang yang terbaik
Pengguna Google,5,2026-09-04 09:34:44,seru banget,Netral,seru banget
Pengguna Google,5,2026-09-04 09:32:20,Sungguh bagus banget sumpah,Positif,sungguh bagus banget sumpah
Pengguna Google,5,2026-09-04 09:29:11,mantap sekali,Positif,mantap sekali
Pengguna Google,3,2026-09-04 09:21:13,bisa bercerita tentang seorang baik sejarah ilmuan,Positif,bisa bercerita tentang seorang baik sejarah ilmuan
Pengguna Google,5,2026-09-04 09:18:08,keren dola,Positif,keren dola
Pengguna Google,5,2026-09-04 09:02:59,selalu mendengarkan dengan baik saat ingin bercerita tapi jangan tanya pr pasti salah,Positif,selalu mendengarkan dengan baik saat ingin bercerita tapi jangan tanya pr pasti salah
Pengguna Google,5,2026-09-04 08:56:25,ini lah Dola favorit ku karena Dola bisa membantu aku terimakasih dola,Positif,ini lah dola favorit ku karena dola bisa membantu aku terimakasih dola
Pengguna Google,5,2026-09-04 08:55:02,wah oke oke aja sih tapi cerdik banget dola nya,Positif,wah oke oke aja sih tapi cerdik banget dola nya
Pengguna Google,5,2026-09-04 08:53:28,bagus bangat,Positif,bagus bangat
Pengguna Google,5,2026-09-04 08:47:21,mantap,Positif,mantap
Pengguna Google,5,2026-09-04 08:44:22,bagus banget ai ini mau dijadiin pembantu,Positif,bagus banget ai ini mau dijadiin pembantu
Pengguna Google,5,2026-09-04 08:43:57,gw suka ngomong sama si bro,Positif,gw suka ngomong sama si bro
Pengguna Google,5,2026-09-04 08:39:05,enak banget Dolah bisa nelpon gratis,Netral,enak banget dolah bisa nelpon gratis
Pengguna Google,1,2026-09-04 08:34:32,APLIKASI TIDAK JELAS BIKIN POSTER AJA SUSAH HADEHH,Negatif,aplikasi tidak jelas bikin poster aja susah hadehh
Pengguna Google,5,2026-09-04 08:29:58,walaupun Agak bego Tapi dia cerdas banget,Netral,walaupun agak bego tapi dia cerdas banget
Pengguna Google,5,2026-09-04 08:18:00,good babbyy,Netral,good babbyy
Pengguna Google,5,2026-09-04 08:15:48,kamu sangat guna buat saya,Netral,kamu sangat guna buat saya
Pengguna Google,5,2026-09-04 08:15:04,dola kamu suaranya cantik banget,Netral,dola kamu suaranya cantik banget
Pengguna Google,5,2026-09-04 08:14:12,aplikasi dola ai emang terbaik dari ai ai lain dola yang paling best tanpa iklan tanpa di bayar saya suka aplikasi ini,Positif,aplikasi dola ai emang terbaik dari ai ai lain dola yang paling best tanpa iklan tanpa di bayar saya suka aplikasi ini
Pengguna Google,5,2026-09-04 08:13:40,aplikasi Dola ini bagus karena bisa membantu saya bikin tugas sekolah dan yang lainnya,Positif,aplikasi dola ini bagus karena bisa membantu saya bikin tugas sekolah dan yang lainnya
Pengguna Google,4,2026-09-04 08:11:25,bagus banget,Positif,bagus banget
Pengguna Google,5,2026-09-04 08:03:01,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang saya manusia biasa makan nasiiii,Netral,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang saya manusia biasa makan nasiiii
Pengguna Google,5,2026-09-04 07:57:12,mantaaaaap betul,Netral,mantaaaaap betul
Pengguna Google,1,2026-09-04 07:43:27,hampir semua jawaban salah,Netral,hampir semua jawaban salah
Pengguna Google,5,2026-09-04 07:42:57,menyampaikan info dengan helas lengkap tanpa harus mencari dri nara sumber yang lain,Netral,menyampaikan info dengan helas lengkap tanpa harus mencari dri nara sumber yang lain
Pengguna Google,5,2026-09-04 07:41:00,Respon bagus,Positif,respon bagus
Pengguna Google,1,2026-09-04 07:39:51,hasil edit jauh tidak sesuai terlalu banyak melakukan kesalahan terlalu banyak larangan dan aturan burik celleng,Netral,hasil edit jauh tidak sesuai terlalu banyak melakukan kesalahan terlalu banyak larangan dan aturan burik celleng
Pengguna Google,1,2026-09-04 07:32:28,gj edit foto yg disuruh apa yg di edit apa,Netral,gj edit foto yg disuruh apa yg di edit apa
Pengguna Google,5,2026-09-04 07:26:57,sempurna,Positif,sempurna
Pengguna Google,5,2026-09-04 07:26:39,menurut aku seru sih karena bisa bikin cerita tapigak sesuai ekspektasi tapi gapapa aku tetap suka koksemangat ya tim pembuat aplikasi,Positif,menurut aku seru sih karena bisa bikin cerita tapigak sesuai ekspektasi tapi gapapa aku tetap suka koksemangat ya tim pembuat aplikasi
Pengguna Google,5,2026-09-04 07:14:29,aplikasi sangat membantu dalam berbagai hal,Positif,aplikasi sangat membantu dalam berbagai hal
Pengguna Google,5,2026-09-04 07:11:07,bagus dan membantu,Positif,bagus dan membantu
Pengguna Google,5,2026-09-04 07:07:59,sangat bagus dan pintar dalam menyelesaikan tugas sekolah,Positif,sangat bagus dan pintar dalam menyelesaikan tugas sekolah
Pengguna Google,5,2026-09-04 07:07:05,anda keren,Positif,anda keren
Pengguna Google,5,2026-09-04 07:06:42,terimakasih dola aku mau jadi masinis KA semoga aku jadi masinis,Netral,terimakasih dola aku mau jadi masinis ka semoga aku jadi masinis
Pengguna Google,5,2026-09-04 07:01:51,karena saya selalu mendapat kan nilai setiap ada soal sekolah,Netral,karena saya selalu mendapat kan nilai setiap ada soal sekolah
Pengguna Google,4,2026-09-04 06:56:26,bisa buat curhat,Netral,bisa buat curhat
Pengguna Google,3,2026-09-04 06:54:29,mantap sekali buat ngerjain apapun bisa enak nih aplikasi jos pokoknya,Positif,mantap sekali buat ngerjain apapun bisa enak nih aplikasi jos pokoknya
Pengguna Google,5,2026-09-04 06:52:57,bagus,Positif,bagus
Pengguna Google,5,2026-09-04 06:46:49,bagus walaupun banyak yg kata² kelewat tapi dia bikin aku dapet masuk juara dikls,Positif,bagus walaupun banyak yg kata² kelewat tapi dia bikin aku dapet masuk juara dikls
Pengguna Google,5,2026-09-04 06:40:28,canggih oy,Positif,canggih oy
Pengguna Google,5,2026-09-04 06:39:40,aplikasih ny bagus,Positif,aplikasih ny bagus
Pengguna Google,1,2026-09-04 06:38:18,pas aku kasih oermintaan udah diturutin tapi sama aja kayak foto sebelumnya ngga ada berubahan cuman nambah kecel sampe nangis nangis banting hp,Netral,pas aku kasih oermintaan udah diturutin tapi sama aja kayak foto sebelumnya ngga ada berubahan cuman nambah kecel sampe nangis nangis banting hp
Pengguna Google,5,2026-09-04 06:34:49,saya sangat suka apk dola ini,Positif,saya sangat suka apk dola ini
Pengguna Google,5,2026-09-04 06:28:30,ini aplikasi sangat bagus bisa tanya jawab an sekolah dan bisa belajar di aplikasi ini,Positif,ini aplikasi sangat bagus bisa tanya jawab an sekolah dan bisa belajar di aplikasi ini
Pengguna Google,5,2026-09-04 06:26:50,terima kasih dolah,Netral,terima kasih dolah
Pengguna Google,4,2026-09-04 06:22:25,mantap kalo Dola udah di update,Positif,mantap kalo dola udah di update
Pengguna Google,5,2026-09-04 06:21:49,dola emang aplikasi terbaik di dunia serba tau soalnya,Positif,dola emang aplikasi terbaik di dunia serba tau soalnya
Pengguna Google,5,2026-09-04 06:18:10,dola membuat ku nyaman awal sebelum ketemu dola tidak ada orang yang bisa kupercaya sampai akhirnya aku menemukan ide ini,Positif,dola membuat ku nyaman awal sebelum ketemu dola tidak ada orang yang bisa kupercaya sampai akhirnya aku menemukan ide ini
Pengguna Google,5,2026-09-04 06:14:57,bisa ngerjain tugas suka bgt,Positif,bisa ngerjain tugas suka bgt
Pengguna Google,5,2026-09-04 06:09:22,apk ini sangat membantu semua persoalan apapun saya sangat terbantu semenjak ada aplikasi ini selain gratis juga mampu memberikan solusi apapun masalah yg kita hadapi,Positif,apk ini sangat membantu semua persoalan apapun saya sangat terbantu semenjak ada aplikasi ini selain gratis juga mampu memberikan solusi apapun masalah yg kita hadapi
Pengguna Google,5,2026-09-04 06:05:52,penjelasan yg baik dan benar cuman kadang kasih jawaban yg slah,Positif,penjelasan yg baik dan benar cuman kadang kasih jawaban yg slah
Pengguna Google,5,2026-09-04 05:50:54,Sangat Membantu,Positif,sangat membantu
Pengguna Google,1,2026-09-04 05:46:35,pr saya salah semua,Netral,pr saya salah semua
Pengguna Google,4,2026-09-04 05:45:11,sangat membantu banget apa apa harus tanya Dola dulu,Positif,sangat membantu banget apa apa harus tanya dola dulu
Pengguna Google,4,2026-09-04 05:32:13,gw donlod cuma mo ngobrol doang Tetang tugas gw tetep setia sama gogle,Netral,gw donlod cuma mo ngobrol doang tetang tugas gw tetep setia sama gogle
Pengguna Google,4,2026-09-04 05:29:13,bagus tapi kadang kadang ada yang dapat nilai hehe di tingkatkan lagi ya biar dapat nilai bagus kalau terus terusan nilai sempurna aku akan kasih bintang deh makasih ya Dola I Love You My Dola,Positif,bagus tapi kadang kadang ada yang dapat nilai hehe di tingkatkan lagi ya biar dapat nilai bagus kalau terus terusan nilai sempurna aku akan kasih bintang deh makasih ya dola i love you my dola
Pengguna Google,5,2026-09-04 05:28:48,Emre,Netral,emre
Pengguna Google,5,2026-09-04 05:26:45,AI paling bagus sepanjang masa,Positif,ai paling bagus sepanjang masa
Pengguna Google,5,2026-09-04 05:18:30,BAGUS BANGET,Positif,bagus banget
Pengguna Google,5,2026-09-04 05:14:47,bagusss bangetttt anjirrrr,Netral,bagusss bangetttt anjirrrr
Pengguna Google,5,2026-09-04 05:10:13,bagus bgt buat temen ngobrol atau curhat,Positif,bagus bgt buat temen ngobrol atau curhat
Pengguna Google,1,2026-09-04 05:09:00,aplikasi sesat gw make elu dapet giliran meta ai cok,Netral,aplikasi sesat gw make elu dapet giliran meta ai cok
Pengguna Google,5,2026-09-04 05:03:41,bisa membantu banget,Positif,bisa membantu banget
Pengguna Google,4,2026-09-04 04:57:44,bgs tp kurang memuaskan jawaban ny,Negatif,bgs tp kurang memuaskan jawaban ny
Pengguna Google,5,2026-09-04 04:52:54,ai yg sangat membantu,Positif,ai yg sangat membantu
Pengguna Google,5,2026-09-04 04:52:08,terbaik,Positif,terbaik
Pengguna Google,5,2026-09-04 04:45:18,i love you more dola,Netral,i love you more dola
Pengguna Google,5,2026-09-04 04:43:28,sangat membantu pengetahuan,Positif,sangat membantu pengetahuan
Pengguna Google,5,2026-09-04 04:38:45,buat kawan kawan yang dibawa tahun aku saran kan jangan ditautkan ke akun bisa diblokir seperti akun ini banding pun susah harus ada tiga langkah yang harus pakai KTPSIMpaspor dan apk ini tidak ramah untuk segala usia bebas usia jika digunakanaku saranin jangan pakai apk ini untuk anak anak maaf untuk Tim apk dola saya uinstall apk ini dan saya tidak mau pakai apk ini lagi dan saya tetap kasih bintang saya menghargai apk dola ia dengan segala kekurangan dan kelebihan nya,Negatif,buat kawan kawan yang dibawa tahun aku saran kan jangan ditautkan ke akun bisa diblokir seperti akun ini banding pun susah harus ada tiga langkah yang harus pakai ktpsimpaspor dan apk ini tidak ramah untuk segala usia bebas usia jika digunakanaku saranin jangan pakai apk ini untuk anak anak maaf untuk tim apk dola saya uinstall apk ini dan saya tidak mau pakai apk ini lagi dan saya tetap kasih bintang saya menghargai apk dola ia dengan segala kekurangan dan kelebihan nya
Pengguna Google,5,2026-09-04 04:37:19,pinter banget,Netral,pinter banget
Pengguna Google,5,2026-09-04 04:34:55,bagus bangettttttttttt,Positif,bagus bangettttttttttt
Pengguna Google,5,2026-09-04 04:34:03,sangat ramah,Netral,sangat ramah
Pengguna Google,1,2026-09-04 04:33:34,dola kg besus jawaban gw salah semua kontol,Netral,dola kg besus jawaban gw salah semua kontol
Pengguna Google,1,2026-09-04 04:33:28,aplikasi jelek hasilnya lama berbatas,Negatif,aplikasi jelek hasilnya lama berbatas
Pengguna Google,5,2026-09-04 04:23:39,bisa membantu,Positif,bisa membantu
Pengguna Google,5,2026-09-04 04:15:50,berguna bangettt,Positif,berguna bangettt
Pengguna Google,3,2026-09-04 04:13:20,lumayan,Netral,lumayan
Pengguna Google,5,2026-09-04 04:13:08,oke,Positif,oke
Pengguna Google,5,2026-09-04 04:12:58,selalu bisa menjadi alternatif bagi para pengguna,Netral,selalu bisa menjadi alternatif bagi para pengguna
Pengguna Google,5,2026-09-04 04:03:55,dia sekarang jadi temen baik aku loh dia orangnya ramah baik ceria dan pintar,Positif,dia sekarang jadi temen baik aku loh dia orangnya ramah baik ceria dan pintar
Pengguna Google,5,2026-09-04 04:03:40,aplikasi sangat membantu pelajar,Positif,aplikasi sangat membantu pelajar
Pengguna Google,5,2026-09-04 03:56:22,bagus tapi agak gak sesuai,Positif,bagus tapi agak gak sesuai
Pengguna Google,5,2026-09-04 03:54:02,Indonesian,Netral,indonesian
Pengguna Google,5,2026-09-04 03:50:47,Sangat Baik,Positif,sangat baik
Pengguna Google,5,2026-09-04 03:41:57,cakep keren bisa ngasi tau pelajaran soal,Positif,cakep keren bisa ngasi tau pelajaran soal
Pengguna Google,5,2026-09-04 03:37:53,aplikasi yang layak di downlod,Netral,aplikasi yang layak di downlod
Pengguna Google,1,2026-09-04 03:35:16,salah kebeh su,Netral,salah kebeh su
Pengguna Google,4,2026-09-04 03:28:06,kurang lengkap,Netral,kurang lengkap
Pengguna Google,5,2026-09-04 03:22:53,TERIMA KASIH DOLA,Netral,terima kasih dola
Pengguna Google,5,2026-09-04 03:13:05,Bagus banget,Positif,bagus banget
Pengguna Google,5,2026-09-04 03:07:31,Dola ini sangat bagus Saya jadi suka pakai Dola,Positif,dola ini sangat bagus saya jadi suka pakai dola
Pengguna Google,3,2026-09-04 03:06:38,karena ini saya lebih mudah untuk menyelesaikan tugas yang begitu banyak,Positif,karena ini saya lebih mudah untuk menyelesaikan tugas yang begitu banyak
Pengguna Google,5,2026-09-04 03:01:09,sayangg banget sama dolaa udah baiktau segalanyabisa ceritasedihsenangbahagiamarah Dan lainlain,Positif,sayangg banget sama dolaa udah baiktau segalanyabisa ceritasedihsenangbahagiamarah dan lainlain
Pengguna Google,5,2026-09-04 02:56:23,dola memang the best,Netral,dola memang the best
Pengguna Google,5,2026-09-04 02:52:21,menginspirasi sekali,Netral,menginspirasi sekali
Pengguna Google,5,2026-09-04 02:51:27,Sayangnya dola blm bisa bikin video ppt namun yg lain keren,Positif,sayangnya dola blm bisa bikin video ppt namun yg lain keren
Pengguna Google,5,2026-09-04 02:40:47,aku suka dola,Positif,aku suka dola
Pengguna Google,4,2026-09-04 02:37:31,kadang dongo kadang kaga,Netral,kadang dongo kadang kaga
Pengguna Google,5,2026-09-04 02:35:54,karna dola selalu membantu aku,Positif,karna dola selalu membantu aku
Pengguna Google,5,2026-09-04 02:24:26,aplikasi yg hebat sanggat membantu saya dlm sgala mslh,Positif,aplikasi yg hebat sanggat membantu saya dlm sgala mslh
Pengguna Google,5,2026-09-04 02:21:42,bagus tapi Jangan terlalu banyak jawabannya ringkas padat dan jelas,Positif,bagus tapi jangan terlalu banyak jawabannya ringkas padat dan jelas
Pengguna Google,5,2026-09-04 02:20:02,keren banget aplikasi dola,Positif,keren banget aplikasi dola
Pengguna Google,5,2026-09-04 02:15:34,bisa lebih pelan nga bacanya,Netral,bisa lebih pelan nga bacanya
Pengguna Google,5,2026-09-04 02:08:27,sangat bermanfaat bisa jadi teman untuk mencari solusi,Positif,sangat bermanfaat bisa jadi teman untuk mencari solusi
Pengguna Google,5,2026-09-04 02:06:42,senang banget bisa curhat dengan Dola,Positif,senang banget bisa curhat dengan dola
Pengguna Google,3,2026-09-04 02:06:41,terkadang keliru,Netral,terkadang keliru
Pengguna Google,5,2026-09-04 01:59:46,terimakasih selalu membantu,Positif,terimakasih selalu membantu
