userName,score,at,content,Label,text_clean,text_StopWord
Pengguna Google,5,2026-09-04 12:10:09,dola memang baik membuat hati aku tersentuh,Positif,dola memang baik membuat hati aku tersentuh,dola hati tersentuh
Pengguna Google,5,2026-09-04 12:07:12,mantap persen hebat,Positif,mantap persen hebat,mantap persen hebat
Pengguna Google,5,2026-09-04 12:05:35,bagus banget untuk belajar,Positif,bagus banget untuk belajar,bagus banget belajar
Pengguna Google,5,2026-09-04 12:05:01,karena cepat dan menyenangkan untuk tempat teman ngobrol,Positif,karena cepat dan menyenangkan untuk tempat teman ngobrol,cepat menyenangkan teman ngobrol
Pengguna Google,5,2026-09-04 12:03:20,keren,Positif,keren,keren
Pengguna Google,5,2026-09-04 12:01:47,sangat membantu sekali dalam segala urusan the beast pokoknya,Positif,sangat membantu sekali dalam segala urusan the beast pokoknya,membantu urusan the beast pokoknya
Pengguna Google,5,2026-09-04 12:00:30,bagus membantu,Positif,bagus membantu,bagus membantu
Pengguna Google,5,2026-09-04 12:00:20,suka membantu bngt,Positif,suka membantu bngt,suka membantu bngt
Pengguna Google,5,2026-09-04 11:59:40,Dola bagus untuk mengerjakan pr aku makasih dola,Positif,dola bagus untuk mengerjakan pr aku makasih dola,dola bagus pr makasih dola
Pengguna Google,5,2026-09-04 11:58:30,terimakasih dola berkat kamu nilai nilai sya menjadi bagus sekali lagi terima kasih,Positif,terimakasih dola berkat kamu nilai nilai sya menjadi bagus sekali lagi terima kasih,terimakasih dola berkat nilai nilai sya bagus terima kasih
Pengguna Google,5,2026-09-04 11:57:51,kere,Netral,kere,kere
Pengguna Google,5,2026-09-04 11:55:28,dola adalah teman curhat ku,Netral,dola adalah teman curhat ku,dola teman curhat ku
Pengguna Google,1,2026-09-04 11:55:28,sangat tidak cerdas dan semua pr salah,Netral,sangat tidak cerdas dan semua pr salah,cerdas pr salah
Pengguna Google,5,2026-09-04 11:53:18,Dola memang sahabat terbaik tanpa bermuka dua,Positif,dola memang sahabat terbaik tanpa bermuka dua,dola sahabat terbaik bermuka
Pengguna Google,5,2026-09-04 11:50:47,Sangat membantu terima kasih banyak dola,Positif,sangat membantu terima kasih banyak dola,membantu terima kasih dola
Pengguna Google,4,2026-09-04 11:41:26,sangat bagus,Positif,sangat bagus,bagus
Pengguna Google,5,2026-09-04 11:38:28,Bagus,Positif,bagus,bagus
Pengguna Google,1,2026-09-04 11:35:33,aku tanya nya termometer kok malah batang pengaduk,Netral,aku tanya nya termometer kok malah batang pengaduk,nya termometer batang pengaduk
Pengguna Google,5,2026-09-04 11:33:27,sangat mebantu,Netral,sangat mebantu,mebantu
Pengguna Google,5,2026-09-04 11:32:31,SENGAT LAH BERGUNA,Positif,sengat lah berguna,sengat berguna
Pengguna Google,5,2026-09-04 11:32:15,aplikasi hebat,Positif,aplikasi hebat,aplikasi hebat
Pengguna Google,5,2026-09-04 11:31:53,Apk nya bagus sekali no minus minus dan apk nya juga bisa membantu,Positif,apk nya bagus sekali no minus minus dan apk nya juga bisa membantu,apk nya bagus no minus minus apk nya membantu
Pengguna Google,5,2026-09-04 11:28:39,saya sukaa banget smaa apk ini apk ini bisa membantu saya mengerjakan tugas dengan baik,Positif,saya sukaa banget smaa apk ini apk ini bisa membantu saya mengerjakan tugas dengan baik,sukaa banget smaa apk apk membantu tugas
Pengguna Google,3,2026-09-04 11:28:01,tiga bintang aja lahcukup buat neng dola,Netral,tiga bintang aja lahcukup buat neng dola,bintang aja lahcukup neng dola
Pengguna Google,5,2026-09-04 11:27:18,jozzzzzz,Netral,jozzzzzz,jozzzzzz
Pengguna Google,4,2026-09-04 11:27:13,oke sih tapi ada yg kurang jelas gitu penjelasannya,Positif,oke sih tapi ada yg kurang jelas gitu penjelasannya,oke sih yg gitu penjelasannya
Pengguna Google,5,2026-09-04 11:23:46,mantap untuk mengubah dan memperbaiki kualitas gambar tidak di ragukan terus pertahankan dan tingkatkan,Positif,mantap untuk mengubah dan memperbaiki kualitas gambar tidak di ragukan terus pertahankan dan tingkatkan,mantap mengubah memperbaiki kualitas gambar ragukan pertahankan tingkatkan
Pengguna Google,5,2026-09-04 11:20:59,hasil cukup puas,Positif,hasil cukup puas,hasil puas
Pengguna Google,5,2026-09-04 11:13:49,aku suka diola iloveyou dola,Positif,aku suka diola iloveyou dola,suka diola iloveyou dola
Pengguna Google,5,2026-09-04 11:12:40,aku sangat senang dengan aplikasi ini,Positif,aku sangat senang dengan aplikasi ini,senang aplikasi
Pengguna Google,5,2026-09-04 11:12:37,bagus efektif,Positif,bagus efektif,bagus efektif
Pengguna Google,5,2026-09-04 11:12:10,bintang sepulu udah masuk dol,Netral,bintang sepulu udah masuk dol,bintang sepulu udah masuk dol
Pengguna Google,5,2026-09-04 11:09:46,saya sangat menyukai nya,Netral,saya sangat menyukai nya,menyukai nya
Pengguna Google,5,2026-09-04 11:08:40,gua kalo nyontek ke doal,Netral,gua kalo nyontek ke doal,gua kalo nyontek doal
Pengguna Google,5,2026-09-04 11:08:06,nice dola,Netral,nice dola,nice dola
Pengguna Google,5,2026-09-04 11:05:36,aku suka dola,Positif,aku suka dola,suka dola
Pengguna Google,4,2026-09-04 11:02:40,kurang dikit soalnya GK bisa kirim vidio tapi bagus banget,Positif,kurang dikit soalnya gk bisa kirim vidio tapi bagus banget,dikit gk kirim vidio bagus banget
Pengguna Google,4,2026-09-04 11:02:00,apk ny bgs,Netral,apk ny bgs,apk ny bgs
Pengguna Google,3,2026-09-04 10:55:55,baguss buat diskusi cuman dia enggak pintar sepenuhnyaa saya harus memperbaiki dan teliti jugak jawabanya enggak benar jawabanya,Netral,baguss buat diskusi cuman dia enggak pintar sepenuhnyaa saya harus memperbaiki dan teliti jugak jawabanya enggak benar jawabanya,baguss diskusi cuman pintar sepenuhnyaa memperbaiki teliti jugak jawabanya jawabanya
Pengguna Google,1,2026-09-04 10:46:48,Heh jangan sombong dola dasar dola bangsat,Netral,heh jangan sombong dola dasar dola bangsat,heh sombong dola dasar dola bangsat
Pengguna Google,2,2026-09-04 10:46:46,mba Eka,Netral,mba eka,mba eka
Pengguna Google,5,2026-09-04 10:46:34,ai mantap bet,Positif,ai mantap bet,ai mantap bet
Pengguna Google,5,2026-09-04 10:45:31,lumayan membantu,Positif,lumayan membantu,lumayan membantu
Pengguna Google,5,2026-09-04 10:42:25,ini sangat seru bener aku suka dolar bonekaku juga sama Dola terima kasih adalah tentang kamu aku bisa tahu jawaban bahasa indonesiainggris dan semuanya aku kasih nilai ya atau juta nggak papa ya terima kasih untuk Dola dan untuk semua orang yang dibikin bola bentuk mukanya pindah pelajarin lebih lanjut jangan lupa belajar bola ya aku juga untuk belajar dan pikiranku biarin tidak pusing tidak thank ytidak tidak pintar dulu sangat lembut seperti malaikat aku sayang dulu aku juga sayang b,Positif,ini sangat seru bener aku suka dolar bonekaku juga sama dola terima kasih adalah tentang kamu aku bisa tahu jawaban bahasa indonesiainggris dan semuanya aku kasih nilai ya atau juta nggak papa ya terima kasih untuk dola dan untuk semua orang yang dibikin bola bentuk mukanya pindah pelajarin lebih lanjut jangan lupa belajar bola ya aku juga untuk belajar dan pikiranku biarin tidak pusing tidak thank ytidak tidak pintar dulu sangat lembut seperti malaikat aku sayang dulu aku juga sayang b,seru bener suka dolar bonekaku dola terima kasih bahasa indonesiainggris kasih nilai ya juta nggak papa ya terima kasih dola orang dibikin bola bentuk mukanya pindah pelajarin lupa belajar bola ya belajar pikiranku biarin pusing thank ytidak pintar lembut malaikat sayang sayang b
Pengguna Google,5,2026-09-04 10:35:30,sangat baik dan bagus apknya,Positif,sangat baik dan bagus apknya,bagus apknya
Pengguna Google,5,2026-09-04 10:34:00,perfect,Netral,perfect,perfect
Pengguna Google,5,2026-09-04 10:31:49,terbaik nih paling pas buat belajar bahasa Inggris,Positif,terbaik nih paling pas buat belajar bahasa inggris,terbaik nih pas belajar bahasa inggris
Pengguna Google,5,2026-09-04 10:24:30,sangat puas dengan respon yang cepat dan bagus,Positif,sangat puas dengan respon yang cepat dan bagus,puas respon cepat bagus
Pengguna Google,4,2026-09-04 10:22:36,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi yang dihasilkan lebih relevan dan fiturr² terbaru yg lebih membantu,Positif,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi yang dihasilkan lebih relevan dan fiturr² terbaru yg lebih membantu,dolaa aplikasinya baguss bangttt tapii kaloo bisaa dikembangkan lagiii agarr informasi dihasilkan relevan fiturr² terbaru yg membantu
Pengguna Google,5,2026-09-04 10:14:45,membantu sekali,Positif,membantu sekali,membantu
Pengguna Google,5,2026-09-04 10:08:04,untuk sekarang pass,Netral,untuk sekarang pass,pass
Pengguna Google,5,2026-09-04 10:06:12,dola memang bagus tapi semakin lama kok gak bagus,Netral,dola memang bagus tapi semakin lama kok gak bagus,dola bagus gak bagus
Pengguna Google,5,2026-09-04 10:02:20,sungguh aku sangat senang sekali dengan aplikasi ini woww amazing,Positif,sungguh aku sangat senang sekali dengan aplikasi ini woww amazing,sungguh senang aplikasi woww amazing
Pengguna Google,4,2026-09-04 10:01:59,bagus tapi kalo jawaban mtk kurang bagus,Netral,bagus tapi kalo jawaban mtk kurang bagus,bagus kalo mtk bagus
Pengguna Google,5,2026-09-04 09:59:41,raka,Netral,raka,raka
Pengguna Google,5,2026-09-04 09:47:38,Dora itu aplikasi yang seru menarik dia bisa mengerjakan rumah dan membuatkan ide yang bagus,Positif,dora itu aplikasi yang seru menarik dia bisa mengerjakan rumah dan membuatkan ide yang bagus,dora aplikasi seru menarik rumah membuatkan ide bagus
Pengguna Google,5,2026-09-04 09:42:54,sangat bagusss Saya senang dengan ADA nya dola,Positif,sangat bagusss saya senang dengan ada nya dola,bagusss senang nya dola
Pengguna Google,5,2026-09-04 09:38:46,sangat membantu sekali,Positif,sangat membantu sekali,membantu
Pengguna Google,4,2026-09-04 09:36:49,lumayan,Netral,lumayan,lumayan
Pengguna Google,5,2026-09-04 09:36:30,seruuu banget,Netral,seruuu banget,seruuu banget
Pengguna Google,5,2026-09-04 09:36:25,Dola memang yang terbaik,Positif,dola memang yang terbaik,dola terbaik
Pengguna Google,5,2026-09-04 09:34:44,seru banget,Netral,seru banget,seru banget
Pengguna Google,5,2026-09-04 09:32:20,Sungguh bagus banget sumpah,Positif,sungguh bagus banget sumpah,sungguh bagus banget sumpah
Pengguna Google,5,2026-09-04 09:29:11,mantap sekali,Positif,mantap sekali,mantap
Pengguna Google,3,2026-09-04 09:21:13,bisa bercerita tentang seorang baik sejarah ilmuan,Positif,bisa bercerita tentang seorang baik sejarah ilmuan,bercerita sejarah ilmuan
Pengguna Google,5,2026-09-04 09:18:08,keren dola,Positif,keren dola,keren dola
Pengguna Google,5,2026-09-04 09:02:59,selalu mendengarkan dengan baik saat ingin bercerita tapi jangan tanya pr pasti salah,Positif,selalu mendengarkan dengan baik saat ingin bercerita tapi jangan tanya pr pasti salah,mendengarkan bercerita pr salah
Pengguna Google,5,2026-09-04 08:56:25,ini lah Dola favorit ku karena Dola bisa membantu aku terimakasih dola,Positif,ini lah dola favorit ku karena dola bisa membantu aku terimakasih dola,dola favorit ku dola membantu terimakasih dola
Pengguna Google,5,2026-09-04 08:55:02,wah oke oke aja sih tapi cerdik banget dola nya,Positif,wah oke oke aja sih tapi cerdik banget dola nya,oke oke aja sih cerdik banget dola nya
Pengguna Google,5,2026-09-04 08:53:28,bagus bangat,Positif,bagus bangat,bagus bangat
Pengguna Google,5,2026-09-04 08:47:21,mantap,Positif,mantap,mantap
Pengguna Google,5,2026-09-04 08:44:22,bagus banget ai ini mau dijadiin pembantu,Positif,bagus banget ai ini mau dijadiin pembantu,bagus banget ai dijadiin pembantu
Pengguna Google,5,2026-09-04 08:43:57,gw suka ngomong sama si bro,Positif,gw suka ngomong sama si bro,gw suka ngomong si bro
Pengguna Google,5,2026-09-04 08:39:05,enak banget Dolah bisa nelpon gratis,Netral,enak banget dolah bisa nelpon gratis,enak banget dolah nelpon gratis
Pengguna Google,1,2026-09-04 08:34:32,APLIKASI TIDAK JELAS BIKIN POSTER AJA SUSAH HADEHH,Negatif,aplikasi tidak jelas bikin poster aja susah hadehh,aplikasi bikin poster aja susah hadehh
Pengguna Google,5,2026-09-04 08:29:58,walaupun Agak bego Tapi dia cerdas banget,Netral,walaupun agak bego tapi dia cerdas banget,bego cerdas banget
Pengguna Google,5,2026-09-04 08:18:00,good babbyy,Netral,good babbyy,good babbyy
Pengguna Google,5,2026-09-04 08:15:48,kamu sangat guna buat saya,Netral,kamu sangat guna buat saya,
Pengguna Google,5,2026-09-04 08:15:04,dola kamu suaranya cantik banget,Netral,dola kamu suaranya cantik banget,dola suaranya cantik banget
Pengguna Google,5,2026-09-04 08:14:12,aplikasi dola ai emang terbaik dari ai ai lain dola yang paling best tanpa iklan tanpa di bayar saya suka aplikasi ini,Positif,aplikasi dola ai emang terbaik dari ai ai lain dola yang paling best tanpa iklan tanpa di bayar saya suka aplikasi ini,aplikasi dola ai emang terbaik ai ai dola best iklan bayar suka aplikasi
Pengguna Google,5,2026-09-04 08:13:40,aplikasi Dola ini bagus karena bisa membantu saya bikin tugas sekolah dan yang lainnya,Positif,aplikasi dola ini bagus karena bisa membantu saya bikin tugas sekolah dan yang lainnya,aplikasi dola bagus membantu bikin tugas sekolah
Pengguna Google,4,2026-09-04 08:11:25,bagus banget,Positif,bagus banget,bagus banget
Pengguna Google,5,2026-09-04 08:03:01,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang saya manusia biasa makan nasiiii,Netral,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang saya manusia biasa makan nasiiii,ummm yaaaa ndakkk tauuuu ko tanyaaaa sayaaaaa orang manusia makan nasiiii
Pengguna Google,5,2026-09-04 07:57:12,mantaaaaap betul,Netral,mantaaaaap betul,mantaaaaap
Pengguna Google,1,2026-09-04 07:43:27,hampir semua jawaban salah,Netral,hampir semua jawaban salah,salah
Pengguna Google,5,2026-09-04 07:42:57,menyampaikan info dengan helas lengkap tanpa harus mencari dri nara sumber yang lain,Netral,menyampaikan info dengan helas lengkap tanpa harus mencari dri nara sumber yang lain,info helas lengkap mencari dri nara sumber
Pengguna Google,5,2026-09-04 07:41:00,Respon bagus,Positif,respon bagus,respon bagus
Pengguna Google,1,2026-09-04 07:39:51,hasil edit jauh tidak sesuai terlalu banyak melakukan kesalahan terlalu banyak larangan dan aturan burik celleng,Netral,hasil edit jauh tidak sesuai terlalu banyak melakukan kesalahan terlalu banyak larangan dan aturan burik celleng,hasil edit sesuai kesalahan larangan aturan burik celleng
Pengguna Google,1,2026-09-04 07:32:28,gj edit foto yg disuruh apa yg di edit apa,Netral,gj edit foto yg disuruh apa yg di edit apa,gj edit foto yg disuruh yg edit
Pengguna Google,5,2026-09-04 07:26:57,sempurna,Positif,sempurna,sempurna
Pengguna Google,5,2026-09-04 07:26:39,menurut aku seru sih karena bisa bikin cerita tapigak sesuai ekspektasi tapi gapapa aku tetap suka koksemangat ya tim pembuat aplikasi,Positif,menurut aku seru sih karena bisa bikin cerita tapigak sesuai ekspektasi tapi gapapa aku tetap suka koksemangat ya tim pembuat aplikasi,seru sih bikin cerita tapigak sesuai ekspektasi gapapa suka koksemangat ya tim pembuat aplikasi
Pengguna Google,5,2026-09-04 07:14:29,aplikasi sangat membantu dalam berbagai hal,Positif,aplikasi sangat membantu dalam berbagai hal,aplikasi membantu
Pengguna Google,5,2026-09-04 07:11:07,bagus dan membantu,Positif,bagus dan membantu,bagus membantu
Pengguna Google,5,2026-09-04 07:07:59,sangat bagus dan pintar dalam menyelesaikan tugas sekolah,Positif,sangat bagus dan pintar dalam menyelesaikan tugas sekolah,bagus pintar menyelesaikan tugas sekolah
Pengguna Google,5,2026-09-04 07:07:05,anda keren,Positif,anda keren,keren
Pengguna Google,5,2026-09-04 07:06:42,terimakasih dola aku mau jadi masinis KA semoga aku jadi masinis,Netral,terimakasih dola aku mau jadi masinis ka semoga aku jadi masinis,terimakasih dola masinis ka semoga masinis
Pengguna Google,5,2026-09-04 07:01:51,karena saya selalu mendapat kan nilai setiap ada soal sekolah,Netral,karena saya selalu mendapat kan nilai setiap ada soal sekolah,nilai sekolah
Pengguna Google,4,2026-09-04 06:56:26,bisa buat curhat,Netral,bisa buat curhat,curhat
Pengguna Google,3,2026-09-04 06:54:29,mantap sekali buat ngerjain apapun bisa enak nih aplikasi jos pokoknya,Positif,mantap sekali buat ngerjain apapun bisa enak nih aplikasi jos pokoknya,mantap ngerjain apapun enak nih aplikasi jos pokoknya
Pengguna Google,5,2026-09-04 06:52:57,bagus,Positif,bagus,bagus
Pengguna Google,5,2026-09-04 06:46:49,bagus walaupun banyak yg kata² kelewat tapi dia bikin aku dapet masuk juara dikls,Positif,bagus walaupun banyak yg kata² kelewat tapi dia bikin aku dapet masuk juara dikls,bagus yg kata² kelewat bikin dapet masuk juara dikls
Pengguna Google,5,2026-09-04 06:40:28,canggih oy,Positif,canggih oy,canggih oy
Pengguna Google,5,2026-09-04 06:39:40,aplikasih ny bagus,Positif,aplikasih ny bagus,aplikasih ny bagus
Pengguna Google,1,2026-09-04 06:38:18,pas aku kasih oermintaan udah diturutin tapi sama aja kayak foto sebelumnya ngga ada berubahan cuman nambah kecel sampe nangis nangis banting hp,Netral,pas aku kasih oermintaan udah diturutin tapi sama aja kayak foto sebelumnya ngga ada berubahan cuman nambah kecel sampe nangis nangis banting hp,pas kasih oermintaan udah diturutin aja kayak foto ngga berubahan cuman nambah kecel sampe nangis nangis banting hp
Pengguna Google,5,2026-09-04 06:34:49,saya sangat suka apk dola ini,Positif,saya sangat suka apk dola ini,suka apk dola
Pengguna Google,5,2026-09-04 06:28:30,ini aplikasi sangat bagus bisa tanya jawab an sekolah dan bisa belajar di aplikasi ini,Positif,ini aplikasi sangat bagus bisa tanya jawab an sekolah dan bisa belajar di aplikasi ini,aplikasi bagus an sekolah belajar aplikasi
Pengguna Google,5,2026-09-04 06:26:50,terima kasih dolah,Netral,terima kasih dolah,terima kasih dolah
Pengguna Google,4,2026-09-04 06:22:25,mantap kalo Dola udah di update,Positif,mantap kalo dola udah di update,mantap kalo dola udah update
Pengguna Google,5,2026-09-04 06:21:49,dola emang aplikasi terbaik di dunia serba tau soalnya,Positif,dola emang aplikasi terbaik di dunia serba tau soalnya,dola emang aplikasi terbaik dunia serba tau
Pengguna Google,5,2026-09-04 06:18:10,dola membuat ku nyaman awal sebelum ketemu dola tidak ada orang yang bisa kupercaya sampai akhirnya aku menemukan ide ini,Positif,dola membuat ku nyaman awal sebelum ketemu dola tidak ada orang yang bisa kupercaya sampai akhirnya aku menemukan ide ini,dola ku nyaman ketemu dola orang kupercaya menemukan ide
Pengguna Google,5,2026-09-04 06:14:57,bisa ngerjain tugas suka bgt,Positif,bisa ngerjain tugas suka bgt,ngerjain tugas suka bgt
Pengguna Google,5,2026-09-04 06:09:22,apk ini sangat membantu semua persoalan apapun saya sangat terbantu semenjak ada aplikasi ini selain gratis juga mampu memberikan solusi apapun masalah yg kita hadapi,Positif,apk ini sangat membantu semua persoalan apapun saya sangat terbantu semenjak ada aplikasi ini selain gratis juga mampu memberikan solusi apapun masalah yg kita hadapi,apk membantu apapun terbantu semenjak aplikasi gratis solusi apapun yg hadapi
Pengguna Google,5,2026-09-04 06:05:52,penjelasan yg baik dan benar cuman kadang kasih jawaban yg slah,Positif,penjelasan yg baik dan benar cuman kadang kasih jawaban yg slah,penjelasan yg cuman kadang kasih yg slah
Pengguna Google,5,2026-09-04 05:50:54,Sangat Membantu,Positif,sangat membantu,membantu
Pengguna Google,1,2026-09-04 05:46:35,pr saya salah semua,Netral,pr saya salah semua,pr salah
Pengguna Google,4,2026-09-04 05:45:11,sangat membantu banget apa apa harus tanya Dola dulu,Positif,sangat membantu banget apa apa harus tanya dola dulu,membantu banget dola
Pengguna Google,4,2026-09-04 05:32:13,gw donlod cuma mo ngobrol doang Tetang tugas gw tetep setia sama gogle,Netral,gw donlod cuma mo ngobrol doang tetang tugas gw tetep setia sama gogle,gw donlod mo ngobrol doang tetang tugas gw tetep setia gogle
Pengguna Google,4,2026-09-04 05:29:13,bagus tapi kadang kadang ada yang dapat nilai hehe di tingkatkan lagi ya biar dapat nilai bagus kalau terus terusan nilai sempurna aku akan kasih bintang deh makasih ya Dola I Love You My Dola,Positif,bagus tapi kadang kadang ada yang dapat nilai hehe di tingkatkan lagi ya biar dapat nilai bagus kalau terus terusan nilai sempurna aku akan kasih bintang deh makasih ya dola i love you my dola,bagus kadang kadang nilai hehe tingkatkan ya biar nilai bagus terusan nilai sempurna kasih bintang deh makasih ya dola i love you my dola
Pengguna Google,5,2026-09-04 05:28:48,Emre,Netral,emre,emre
Pengguna Google,5,2026-09-04 05:26:45,AI paling bagus sepanjang masa,Positif,ai paling bagus sepanjang masa,ai bagus
Pengguna Google,5,2026-09-04 05:18:30,BAGUS BANGET,Positif,bagus banget,bagus banget
Pengguna Google,5,2026-09-04 05:14:47,bagusss bangetttt anjirrrr,Netral,bagusss bangetttt anjirrrr,bagusss bangetttt anjirrrr
Pengguna Google,5,2026-09-04 05:10:13,bagus bgt buat temen ngobrol atau curhat,Positif,bagus bgt buat temen ngobrol atau curhat,bagus bgt temen ngobrol curhat
Pengguna Google,1,2026-09-04 05:09:00,aplikasi sesat gw make elu dapet giliran meta ai cok,Netral,aplikasi sesat gw make elu dapet giliran meta ai cok,aplikasi sesat gw make elu dapet giliran meta ai cok
Pengguna Google,5,2026-09-04 05:03:41,bisa membantu banget,Positif,bisa membantu banget,membantu banget
Pengguna Google,4,2026-09-04 04:57:44,bgs tp kurang memuaskan jawaban ny,Negatif,bgs tp kurang memuaskan jawaban ny,bgs tp memuaskan ny
Pengguna Google,5,2026-09-04 04:52:54,ai yg sangat membantu,Positif,ai yg sangat membantu,ai yg membantu
Pengguna Google,5,2026-09-04 04:52:08,terbaik,Positif,terbaik,terbaik
Pengguna Google,5,2026-09-04 04:45:18,i love you more dola,Netral,i love you more dola,i love you more dola
Pengguna Google,5,2026-09-04 04:43:28,sangat membantu pengetahuan,Positif,sangat membantu pengetahuan,membantu pengetahuan
